"Photon energy, eV", "n", "k"
1.627089073925193,2.88491,1.70096
1.629227167320627,2.88413,1.69985
1.6313708872776278,2.88336,1.69875
1.6335202560355693,2.88258,1.69765
1.6356752959511835,2.88181,1.69655
1.6378360294993357,2.88104,1.69545
1.6400024792738057,2.88027,1.69435
1.6421746679880758,2.8795,1.69325
1.6443526184761235,2.87873,1.69215
1.6465363536932234,2.87796,1.69105
1.6487258967167515,2.87719,1.68995
1.6509212707470002,2.87642,1.68884
1.6531224991079962,2.87566,1.68774
1.6553296052483273,2.87489,1.68664
1.6575426127419748,2.87412,1.68554
1.6597615452891528,2.87336,1.68444
1.6619864267171542,2.87259,1.68334
1.6642172809812041,2.87183,1.68224
1.6664541321653188,2.87106,1.68114
1.6686970044831724,2.8703,1.68004
1.670945922278972,2.86954,1.67894
1.6732009100283363,2.86877,1.67783
1.6754619923391854,2.86801,1.67673
1.6777291939526349,2.86725,1.67563
1.6800025397438987,2.86649,1.67453
1.6822820547231983,2.86573,1.67343
1.684567764036681,2.86497,1.67233
1.6868596929673432,2.86422,1.67123
1.6891578669359635,2.86346,1.67013
1.6914623115020424,2.8627,1.66903
1.6937730523647503,2.86195,1.66793
1.6960901153638812,2.86119,1.66682
1.698413526480818,2.86044,1.66572
1.7007433118395023,2.85968,1.66462
1.7030794977074137,2.85893,1.66352
1.7054221104965572,2.85818,1.66242
1.707771176764459,2.85743,1.66131
1.7101267232151685,2.85668,1.66021
1.7124887767002723,2.85593,1.65911
1.7148573642199132,2.85518,1.65801
1.7172325129238188,2.85443,1.65691
1.7196142501123401,2.85369,1.65581
1.722002603237496,2.85294,1.65471
1.7243975999040295,2.85219,1.65361
1.7267992678704696,2.85145,1.65251
1.7292076350502052,2.8507,1.65141
1.731622729512566,2.84996,1.6503
1.734044579483912,2.84922,1.6492
1.7364732133487355,2.84848,1.6481
1.7389086596507675,2.84773,1.647
1.741350947094097,2.84699,1.6459
1.7438001045443,2.84625,1.6448
1.7462561610295735,2.84551,1.6437
1.748719145741886,2.84478,1.6426
1.7511890880381316,2.84404,1.6415
1.7536660174412972,2.8433,1.6404
1.7561499636416391,2.84257,1.63929
1.7586409564978684,2.84183,1.63819
1.7611390260383484,2.8411,1.63709
1.7636442024623005,2.84036,1.63599
1.7661565161410218,2.83963,1.63489
1.7686759976191115,2.8389,1.63379
1.7712026776157104,2.83817,1.63269
1.773736587025747,2.83744,1.63159
1.7762777569211994,2.83671,1.63049
1.7788262185523633,2.83598,1.62939
1.7813820033491339,2.83526,1.62828
1.783945142922298,2.83453,1.62718
1.7865156690648374,2.83381,1.62608
1.7890936137532427,2.83308,1.62498
1.79167900914884,2.83236,1.62388
1.7942718875991277,2.83164,1.62278
1.7968722816391265,2.83092,1.62168
1.799480223992739,2.8302,1.62058
1.802095747574124,2.82948,1.61948
1.8047188854890786,2.82876,1.61838
1.8073496710364387,2.82804,1.61727
1.8099881377094846,2.82733,1.61617
1.8126343191973642,2.82661,1.61507
1.8152882493865257,2.8259,1.61397
1.8179499623621658,2.82518,1.61287
1.8206194924096872,2.82447,1.61177
1.8232968740161721,2.82376,1.61067
1.825982141871866,2.82305,1.60957
1.828675330871677,2.82234,1.60847
1.8313764761166869,2.82163,1.60737
1.8340856129156762,2.82092,1.60626
1.8368027767866624,2.82022,1.60516
1.8395280034584527,2.81951,1.60406
1.8422613288722096,2.81881,1.60296
1.8450027891830314,2.8181,1.60186
1.8477524207615454,2.8174,1.60075
1.850510260195518,2.8167,1.59965
1.8532763442914755,2.816,1.59855
1.8560507100763428,2.8153,1.59745
1.858833394799096,2.8146,1.59635
1.861624435932428,2.81391,1.59525
1.8644238711744316,2.81321,1.59415
1.8672317384502968,2.81252,1.59305
1.8700480759140228,2.81182,1.59195
1.8728729219501465,2.81113,1.59085
1.8757063151754871,2.81044,1.58974
1.8785482944409047,2.80975,1.58864
1.8813988988330759,2.80906,1.58754
1.8842581676762873,2.80837,1.58644
1.887126140534242,2.80768,1.58534
1.8900028572118859,2.807,1.58424
1.8928883577572475,2.80631,1.58314
1.8957826824632984,2.80563,1.58204
1.8986858718698272,2.80495,1.58094
1.9015979667653329,2.80427,1.57984
1.9045190081889356,2.80359,1.57873
1.9074490374323032,2.80291,1.57763
1.910388096041598,2.80223,1.57653
1.91333622581944,2.80156,1.57543
1.916293468826889,2.80088,1.57433
1.9192598673854444,2.80021,1.57323
1.9222354640790653,2.79954,1.57213
1.9252203017562066,2.79887,1.57103
1.9282144235318772,2.7982,1.56993
1.9312178727897151,2.79753,1.56883
1.934230693184083,2.79687,1.56772
1.937252928642183,2.7962,1.56662
1.9402846233661926,2.79554,1.56552
1.9433258218354186,2.79487,1.56442
1.9463765688084727,2.79421,1.56332
1.949436909325467,2.79355,1.56222
1.9525068887102317,2.79289,1.56112
1.9555865525725507,2.79224,1.56002
1.958675946810422,2.79158,1.55892
1.9617751176123372,2.79093,1.55782
1.9648841114595834,2.79027,1.55671
1.9680029751285668,2.78962,1.55561
1.9711317556931591,2.78897,1.55451
1.9742705005270655,2.78832,1.55341
1.9774192573062155,2.78768,1.55231
1.9805780740111776,2.78703,1.55121
1.9837469989295955,2.78639,1.55011
1.9869260806586493,2.78574,1.54901
1.9901153681075396,2.7851,1.54791
1.9933149104999954,2.78446,1.54681
1.996524757376807,2.78382,1.5457
1.9997449585983824,2.78319,1.5446
2.00297556434733,2.78255,1.5435
2.006216625131063,2.78192,1.5424
2.0094681917844364,2.78128,1.5413
2.012730315472398,2.78065,1.54019
2.0160030476926782,2.78002,1.53909
2.019286440278497,2.7794,1.53799
2.0225805454013006,2.77877,1.53689
2.0258854155735246,2.77815,1.53579
2.0292011036513866,2.77752,1.53469
2.0325276628377003,2.7769,1.53359
2.035865146684724,2.77628,1.53249
2.0392136090970348,2.77567,1.53139
2.042573104334427,2.77505,1.53029
2.0459436870148466,2.77444,1.52918
2.0493254121173505,2.77383,1.52808
2.052718334985095,2.77322,1.52698
2.0561225113283537,2.77261,1.52588
2.05953799722757,2.772,1.52478
2.0629648491364345,2.7714,1.52368
2.0664031238849954,2.77079,1.52258
2.0698528786828,2.77019,1.52148
2.073314171122069,2.76959,1.52038
2.0767870591808997,2.76899,1.51928
2.0802716012265052,2.7684,1.51817
2.0837678560184827,2.7678,1.51707
2.0872758827121163,2.76721,1.51597
2.0907957408617155,2.76662,1.51487
2.0943274904239817,2.76603,1.51377
2.0978711917614166,2.76545,1.51267
2.101426905645758,2.76486,1.51157
2.1049946932614554,2.76428,1.51047
2.1085746162091787,2.7637,1.50937
2.112166736509365,2.76312,1.50827
2.115771116605797,2.76255,1.50716
2.119387819369226,2.76197,1.50606
2.1230169081010226,2.7614,1.50496
2.1266584465368736,2.76083,1.50386
2.1303124988505107,2.76026,1.50276
2.133979129657482,2.7597,1.50166
2.1376584040189606,2.75913,1.50056
2.1413503874455913,2.75857,1.49946
2.145055145901379,2.75801,1.49836
2.1487727458076207,2.75746,1.49726
2.15250325404687,2.7569,1.49615
2.156246737966952,2.75635,1.49505
2.1600032653850127,2.7558,1.49395
2.1637729045916183,2.75525,1.49285
2.1675557243548904,2.7547,1.49175
2.1713517939246887,2.75416,1.49065
2.1751611830368374,2.75362,1.48955
2.1789839619173943,2.75308,1.48845
2.182820201286967,2.75254,1.48735
2.1866699723650744,2.75201,1.48625
2.1905333468745534,2.75148,1.48514
2.194410397046013,2.75095,1.48404
2.1983011956223355,2.75042,1.48294
2.202205815863228,2.7499,1.48184
2.206124331549817,2.74937,1.48074
2.2100568169892996,2.74885,1.47963
2.2140033470196374,2.74834,1.47853
2.217963997014306,2.74782,1.47743
2.2219388428870914,2.74731,1.47633
2.2259279610969425,2.7468,1.47523
2.2299314286528724,2.7463,1.47413
2.2339493231189134,2.74579,1.47303
2.237981722619128,2.74529,1.47193
2.242028705842671,2.7448,1.47083
2.2460903520489075,2.7443,1.46973
2.25016674107259,2.74381,1.46862
2.2542579533290854,2.74332,1.46752
2.2583640698196668,2.74283,1.46642
2.2624851721368557,2.74235,1.46532
2.26662134246983,2.74187,1.46422
2.270772663609885,2.74139,1.46312
2.274939218955958,2.74091,1.46202
2.279121092520215,2.74044,1.46092
2.283318368933696,2.73997,1.45982
2.287531133452024,2.73951,1.45872
2.2917594719611776,2.73904,1.45761
2.2960034709833277,2.73858,1.45651
2.3002632176827404,2.73813,1.45541
2.3045387998717417,2.73768,1.45431
2.308830306016754,2.73723,1.45321
2.3131378252443975,2.73678,1.45211
2.3174614473476582,2.73634,1.45101
2.321801262792129,2.7359,1.44991
2.326157362722321,2.73546,1.44881
2.33052983896804,2.73503,1.44771
2.334918784050842,2.7346,1.4466
2.3393242911905605,2.73417,1.4455
2.3437464543119035,2.73375,1.4444
2.348185368051131,2.73333,1.4433
2.3526411277628028,2.73291,1.4422
2.3571138295266105,2.7325,1.4411
2.3616035701542804,2.73209,1.44
2.3661104471965593,2.73169,1.4389
2.370634558950281,2.73128,1.4378
2.3751760044655117,2.73089,1.4367
2.3797348835527776,2.73049,1.43559
2.3843112967903792,2.7301,1.43449
2.388905345531786,2.72972,1.43339
2.393517131913122,2.72934,1.43229
2.3981467588607295,2.72896,1.43119
2.4027943300988315,2.72858,1.43009
2.4074599501572758,2.72821,1.42899
2.412143724379372,2.72785,1.42789
2.416845758929819,2.72749,1.42679
2.421566160802729,2.72713,1.42569
2.42630503782974,2.72678,1.42458
2.4310624986882297,2.72643,1.42348
2.435838652909621,2.72608,1.42238
2.4406336108877897,2.72574,1.42128
2.4454474838875684,2.72541,1.42018
2.450280384053354,2.72507,1.41907
2.455132424417816,2.72474,1.41797
2.4600037189107087,2.72442,1.41687
2.4648943823677874,2.7241,1.41577
2.469804530539835,2.72379,1.41467
2.474734280101791,2.72348,1.41357
2.4796837486619943,2.72318,1.41247
2.4846530547715373,2.72288,1.41137
2.489642317933729,2.72259,1.41027
2.494651658613676,2.7223,1.40917
2.4996811982479783,2.72202,1.40806
2.5047310592545395,2.72174,1.40696
2.509801365042504,2.72147,1.40586
2.5148922400223066,2.7212,1.40476
2.5200038096158477,2.72094,1.40366
2.5251362002667967,2.72068,1.40256
2.5302895394510148,2.72043,1.40146
2.535463955687111,2.72019,1.40036
2.5406595785471255,2.71995,1.39926
2.545876538667345,2.71971,1.39816
2.5511149677592533,2.71948,1.39705
2.556374998620613,2.71926,1.39595
2.5616567651466884,2.71904,1.39485
2.566960402341609,2.71883,1.39375
2.57228604632987,2.71863,1.39265
2.5776338343679774,2.71843,1.39155
2.5830039048562443,2.71824,1.39045
2.5883963973507247,2.71805,1.38935
2.593811452575308,2.71787,1.38825
2.5992492124339566,2.7177,1.38715
2.6047098200231034,2.71753,1.38604
2.6101934196442045,2.71737,1.38494
2.61570015681645,2.71722,1.38384
2.621230178289635,2.71707,1.38274
2.6267836320571973,2.71693,1.38164
2.632360667369421,2.7168,1.38054
2.6379614347468023,2.71667,1.37944
2.6435860859935976,2.71655,1.37834
2.649234774211532,2.71644,1.37724
2.6549076538136984,2.71634,1.37614
2.6606048805386204,2.71624,1.37503
2.66632661146451,2.71615,1.37393
2.6720730050237007,2.71607,1.37283
2.6778442210172724,2.716,1.37173
2.683640420629864,2.71593,1.37063
2.689461766444679,2.71588,1.36953
2.695308422458689,2.71583,1.36843
2.7011805540980327,2.71579,1.36733
2.707078328233618,2.71576,1.36625
2.7130019131969303,2.71573,1.36516
2.718951478796046,2.71572,1.36405
2.7249271963318615,2.71571,1.3629
2.730929238614531,2.71571,1.36168
2.736957779980126,2.71573,1.36038
2.743012996307516,2.71575,1.359
2.7490950650354704,2.71578,1.35756
2.7552041651799937,2.71582,1.3561
2.7613404773518866,2.71587,1.3547
2.7675041837745473,2.71592,1.35331
2.773695468302007,2.71599,1.35193
2.779914516437213,2.71607,1.35057
2.7861615153505555,2.71616,1.34923
2.7924366538986423,2.71626,1.3479
2.798740122643334,2.71637,1.34659
2.8050721138710344,2.71649,1.3453
2.811432821612238,2.71662,1.34402
2.8178224416613573,2.71676,1.34277
2.8242411715968045,2.71691,1.34153
2.8306892108013635,2.71708,1.3403
2.837166760482831,2.71725,1.33909
